,RefSeq mRNA ID,Transcript stable ID
0,,ENST00000387314
1,,ENST00000389680
2,,ENST00000387342
3,,ENST00000387347
4,,ENST00000386347
5,,ENST00000361390
6,,ENST00000387365
7,,ENST00000387372
8,,ENST00000387377
9,,ENST00000361453
10,,ENST00000387382
11,,ENST00000387392
12,,ENST00000387400
13,,ENST00000387405
14,,ENST00000387409
15,,ENST00000361624
16,,ENST00000387416
17,,ENST00000387419
18,,ENST00000361739
19,,ENST00000387421
20,,ENST00000361851
21,,ENST00000361899
22,,ENST00000362079
23,,ENST00000387429
24,,ENST00000361227
25,,ENST00000387439
26,,ENST00000361335
27,,ENST00000361381
28,,ENST00000387441
29,,ENST00000387449
30,,ENST00000387456
31,,ENST00000361567
32,,ENST00000361681
33,,ENST00000387459
34,,ENST00000361789
35,,ENST00000387460
36,,ENST00000387461
37,,ENST00000761542
38,,ENST00000761543
39,,ENST00000761544
40,,ENST00000761545
41,,ENST00000761546
42,,ENST00000761547
43,,ENST00000761548
44,,ENST00000761549
45,,ENST00000761550
46,,ENST00000761551
47,,ENST00000761552
48,,ENST00000761553
49,,ENST00000761554
50,,ENST00000761555
51,,ENST00000761556
52,,ENST00000761557
53,,ENST00000837528
54,,ENST00000837529
55,,ENST00000840362
56,,ENST00000840363
57,,ENST00000840364
58,,ENST00000840514
59,,ENST00000840515
60,,ENST00000747868
61,,ENST00000747869
62,,ENST00000747962
63,,ENST00000762496
64,,ENST00000762497
65,,ENST00000762498
66,,ENST00000727716
67,,ENST00000727717
68,,ENST00000797658
69,,ENST00000727718
70,,ENST00000797659
71,,ENST00000727719
72,,ENST00000797660
73,,ENST00000727720
74,,ENST00000797661
75,,ENST00000727721
76,,ENST00000620265
77,,ENST00000619317
78,,ENST00000618686
79,,ENST00000797662
80,,ENST00000839739
81,,ENST00000611690
82,,ENST00000611446
83,,ENST00000823014
84,,ENST00000797663
85,,ENST00000615362
86,,ENST00000619779
87,,ENST00000848702
88,,ENST00000797664
89,,ENST00000614535
90,,ENST00000848703
91,,ENST00000835177
92,,ENST00000797665
93,,ENST00000740255
94,,ENST00000797666
95,,ENST00000740256
96,,ENST00000797667
97,,ENST00000740257
98,,ENST00000797668
99,,ENST00000743439
100,,ENST00000740258
101,,ENST00000792413
102,,ENST00000797669
103,,ENST00000740259
104,,ENST00000792414
105,,ENST00000749345
106,,ENST00000797670
107,,ENST00000741285
108,,ENST00000792415
109,,ENST00000797671
110,,ENST00000741286
111,,ENST00000792416
112,,ENST00000749346
113,,ENST00000797672
114,,ENST00000792417
115,,ENST00000749347
116,,ENST00000811422
117,,ENST00000797673
118,,ENST00000792418
119,,ENST00000811423
120,,ENST00000797674
121,,ENST00000749348
122,,ENST00000792419
123,,ENST00000811424
124,,ENST00000797675
125,,ENST00000792420
126,,ENST00000811425
127,,ENST00000797676
128,,ENST00000749349
129,,ENST00000792421
130,,ENST00000797677
131,,ENST00000811524
132,,ENST00000749350
133,,ENST00000792422
134,,ENST00000797678
135,,ENST00000616830
136,,ENST00000792423
137,,ENST00000797679
138,,ENST00000724920
139,,ENST00000749351
140,,ENST00000792424
141,,ENST00000797680
142,,ENST00000724921
143,,ENST00000792425
144,,ENST00000614336
145,,ENST00000797681
146,,ENST00000724922
147,,ENST00000792426
148,,ENST00000797682
149,,ENST00000724923
150,,ENST00000820381
151,,ENST00000792427
152,,ENST00000797683
153,,ENST00000724924
154,,ENST00000820382
155,,ENST00000792428
156,,ENST00000797684
157,,ENST00000820383
158,,ENST00000792429
159,,ENST00000797685
160,,ENST00000621424
161,,ENST00000768434
162,,ENST00000820384
163,,ENST00000792430
164,,ENST00000797686
165,,ENST00000768435
166,NM_001406552,ENST00000612640
167,,ENST00000820385
168,,ENST00000792431
169,,ENST00000797687
170,,ENST00000768436
171,,ENST00000820386
172,,ENST00000792432
173,,ENST00000797688
174,,ENST00000768437
175,,ENST00000820387
176,,ENST00000796966
177,,ENST00000792433
178,,ENST00000768438
179,,ENST00000797689
180,,ENST00000615165
181,,ENST00000820388
182,,ENST00000792434
183,,ENST00000768439
184,,ENST00000797690
185,,ENST00000820389
186,,ENST00000768440
187,,ENST00000792435
188,,ENST00000797691
189,,ENST00000820390
190,,ENST00000768441
191,,ENST00000792436
192,,ENST00000820391
193,,ENST00000797692
194,,ENST00000768442
195,,ENST00000792437
196,,ENST00000797693
197,,ENST00000820392
198,,ENST00000768443
199,,ENST00000792438
200,,ENST00000613204
201,,ENST00000797694
202,,ENST00000768444
203,,ENST00000820393
204,,ENST00000792439
205,,ENST00000797695
206,,ENST00000768445
207,,ENST00000820394
208,,ENST00000617983
209,,ENST00000792440
210,,ENST00000797696
211,,ENST00000768446
212,,ENST00000745172
213,,ENST00000820395
214,,ENST00000797697
215,,ENST00000768447
216,,ENST00000792441
217,,ENST00000745173
218,,ENST00000820396
219,,ENST00000797698
220,,ENST00000768448
